indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
89,Remuneración imponible promedio de los trabajadores estables (RIPTE),b0a49147-4ab0-4dc8-aced-163c4cc3aade,ERROR,1,1
90,Remuneración bruta promedio de los asalariados registrados del sector privado según rama de actividad,7113e4ad-3c12-4bee-9cb9-cfcb6c37a7cd,ERROR,1,2
91,"Empleo registrado del sector privado, por rama de actividad",23f73517-d0a2-4bc2-9559-b2f210850dca,ERROR,1,1
92,"Empleo registrado del sector privado, por sector de actividad.",2bd405db-bfde-4ce0-8ee8-2a9252c5c930,ERROR,1,2
93,"Asalariados registrados del sector privado, por provincia.",a7a04521-1df7-40ea-94dd-793530b79e76,ERROR,1,2
94,Balance de Pagos (MBP6),e45d0403-6b24-4c9d-924b-2353e6e80acb,ERROR,1,2
95,Remuneración bruta de los asalariados registrados del sector privado,f309e333-801c-44ab-922a-8a6f6edf73b5,ERROR,1,1
96,"Asalariados registrados del sector privado, por rama de actividad de la ocupación principal.",0dab0ebd-da5c-41fc-91a9-fa127a00e37f,ERROR,1,1
97,Trabajadores registrados según modalidad ocupacional principal. Base 2012,d9c272b6-bae2-4e00-a08a-9648c8e60d34,ERROR,1,1
98,Valores de la Canasta Básica de Alimentos  y Canasta Básica Total.,4c6b5ce7-e618-4882-921d-c02c02da7a28,ERROR,1,1
99,Índice de salarios. Base Octubre 2016,37fdc259-0197-4726-8324-fc37df1e9c57,ERROR,1,1
100,Índice de Precios al Consumidor. Por categorías. Base diciembre de 2016.,525579c7-e7f2-4aba-9b29-e2033b342c9f,ERROR,1,1
101,Índice de Precios al Consumidor. Bienes y Servicios. Base diciembre 2016.,ae650abf-a6dc-4b64-8d20-ff801019e59a,ERROR,1,1
102,Índice de Precios al Consumidor. Por capítulos. Base diciembre 2016.,68e4c233-b950-48cc-b523-0b00d7965a12,ERROR,1,1
103,Índice de Precios al Consumidor. Nivel General. Base diciembre 2016.,f539466e-b10f-4b1f-a06a-3d2cff414ba5,ERROR,1,1
104,Posición de Inversión Internacional neta,c6df387f-7f85-4a55-9ed5-31b22fbad5eb,ERROR,1,4
105,Estimador Mensual de Actividad Económica (EMAE),1d2d7d6f-ff83-4a48-8aa9-80349c14b1d7,ERROR,1,3
106,Recursos tributarios totales y por tributo,67752444-181f-40a4-9fb3-001ec2464ed4,ERROR,1,3
107,Participación de los principales socios comerciales en el comercio argentino,0783da09-75b5-4929-90ad-5b234d515934,ERROR,1,1
108,"Índices de precios al consumidor, por país",62707474-13d5-4c10-a2aa-dd9e261e4bca,ERROR,1,3
109,Tipo de cambio nominal,75999fe0-1257-46e3-b20c-77a9a5da56ef,ERROR,1,3
110,Índices Morgan Stanley Capital Investment (MSCI),c9276a32-5a40-4adc-bd36-db54318e57b4,ERROR,1,4
111,Bolsas mundiales,390c4848-a7d1-4384-ac6c-3bea9cc06dd2,ERROR,1,4
112,Emerging Markets Bonds Index (EMBI),bb1bdfb8-4db6-4555-8519-605e09893e74,ERROR,1,4
113,Cotizaciones de divisas internacionales,4dc54034-4e94-4a3f-9c62-5296834824d3,ERROR,1,4
114,Rendimiento de los bonos de Estados Unidos,dc844cd8-bf7f-4176-9b4e-6c3688a316b8,ERROR,1,1
115,Principales Tasas de Interés de Referencia,0424f93a-a3bc-4e7f-b86e-cedf57f946f9,ERROR,1,1
116,Resultado de cuenta corriente de las principales economías,d9b09d25-b577-41ef-83cb-ab3ffc22d2d9,ERROR,1,2
117,Desempleo de principales economías,12e27108-4463-48bc-ae1c-3568609da0a7,ERROR,1,2
118,Crecimiento del Producto Interno Bruto de principales economías,c16a06e1-e5e2-4e24-bc79-6c8bc6e1065d,ERROR,1,1
119,Índice de Precios Internos al por Mayor (IPIM) hasta cuatro dígitos,4a744f4d-055f-49df-bd76-f5731f677567,ERROR,1,2
120,Índice de Precios Internos Básicos al por Mayor (IPIB) hasta cuatro dígitos,7668065f-ebf2-4f50-a1b9-df68c8a812ba,ERROR,1,2
121,"Índice de Precios al Consumidor Nacional Urbano, por principales aperturas",2584ab46-41db-408d-9678-204769c7a040,ERROR,1,2
122,"Índice de precios al consumidor GBA, por principales aperturas",7049230b-008f-433f-99a1-ed24ce1108c1,ERROR,1,2
123,Índices de precios internacionales de productos básicos,4bfe4ba4-0093-4a97-b1c6-bd2c0d4cffaa,ERROR,1,3
124,Poder de compra de las exportaciones de bienes y ganancia del intercambio,339761fe-2f40-45f7-8a51-744e0adef437,ERROR,1,1
125,Índice de Tipo de Cambio Real Multilateral Base 17 de Diciembre de 2015 = 100,dc735137-597f-477d-8ada-e610f7034cbc,ERROR,1,3
126,Índice de Tipo de Cambio Real Multilateral Base Diciembre de 2001 = 100,cafbda75-70d2-4376-8c03-1a51ce808b50,ERROR,1,3
127,Índice de precios implícitos de la Oferta y Demanda Globales por componente. Base 2004,78b228e4-a7e5-409b-a509-8e29981ddc9c,ERROR,1,2
128,Índice de precios implícitos del Valor Agregado Bruto a precios de mercado. Base 2004,cb7daae7-360d-4bd5-9199-0dc689ca3ce8,ERROR,1,2
129,Índice de precios implícitos en el Producto Interno Bruto de Sectores Productores de Bienes y de Servicios. Base 1993,68dd9227-9444-4d94-91b3-732e46609f86,ERROR,1,2
130,Índice de Precios Implícitos en el Producto Interno Bruto corriente. Base 1993,ba824d4b-6d30-4a22-ac15-8880919fc5da,ERROR,1,2
131,Índice de Costo de la Construcción. Base 1993,b2754d07-443a-487f-82a4-eef966e2ffed,ERROR,1,3
132,Índice de Precios Internos Básicos del Productor.,8c0e69d7-b250-4faf-88b4-97906adcc891,ERROR,1,4
133,Índice de Precios Internos Básicos al por Mayor.,5898f791-3bf7-449a-aaff-527379425bbd,ERROR,1,4
134,Índice de Precios Internos al por Mayor (IPIM),49bdef19-f1a2-4fb2-b144-95be7ea835b3,ERROR,1,4
135,Índice de Precios al Consumidor. Precios al consumidor de un conjunto de alimentos y bebidas. Base abr 2016.,4ec55de4-3d73-4df6-bc6b-fb46a70225c9,ERROR,1,2
136,"Índice de Precios al Consumidor de GBA, por principales aperturas. Base abril 2016.",6e5ff1ee-75a1-47ba-bf33-f4b8d6dba26a,ERROR,1,2
137,Índice de Precios al Consumidor. Por categorías. Base abril 2016.,8244a401-4364-4cc0-8167-2faae075bd8c,ERROR,1,2
138,Índice de Precios al Consumidor. Bienes y Servicios. Base abril 2016.,12a8f506-a1bf-41e4-a486-e97bca332b71,ERROR,1,2
